# SAXS profile: number of points = 500, q_min = 0.0299999993294477, q_max = 0.487269997596741, delta_q = 0.000916372742018623
# offset = 0.00000000000000, scaling c = 1.10796449543332e-09, Chi^2 = 92.9504634306682
#  q       exp_intensity   error model_intensity
0.45822901 8.92811012      2.98798990 0.11891149     
0.46079600 8.72597027      2.95396996 0.06092373     
0.46337700 8.80247021      2.96690011 0.04317673     
0.46597299 8.82820988      2.97123003 0.05269445     
0.46858299 8.85805988      2.97624993 0.10091188     
0.47120801 8.83504009      2.97237992 0.16541025     
0.47384799 8.92376995      2.98727012 0.24302465     
0.47650301 8.87257004      2.97868991 0.31458793     
0.47917199 8.91808987      2.98632002 0.38022454     
0.48185599 9.05167007      3.00860000 0.42191902     
0.48455599 8.93787956      2.98962998 0.43162381     
0.48727000 9.03722000      3.00620008 0.41414773     
